NPA,NXX,ESRD,Company,OCN,Status,Remarks
,,,,,,2018-10-26
705,211,0000 - 0099,,,Available,
705,211,0100 - 0199,,,Available,
705,211,0200 - 0299,,,Available,
705,211,0300 - 0399,,,Available,
705,211,0400 - 0499,,,Available,
705,211,0500 - 0599,,,Available,
705,211,0600 - 0699,,,Available,
705,211,0700 - 0799,,,Available,
705,211,0800 - 0899,,,Available,
705,211,0900 - 0999,,,Available,
705,211,1000 - 1099,,,Available,
705,211,1100 - 1199,,,Available,
705,211,1200 - 1299,,,Available,
705,211,1300 - 1399,,,Available,
705,211,1400 - 1499,,,Available,
705,211,1500 - 1599,,,Available,
705,211,1600 - 1699,,,Available,
705,211,1700 - 1799,,,Available,
705,211,1800 - 1899,,,Available,
705,211,1900 - 1999,,,Available,
705,211,2000 - 2099,,,Available,
705,211,2100 - 2199,,,Available,
705,211,2200 - 2299,,,Available,
705,211,2300 - 2399,,,Available,
705,211,2400 - 2499,,,Available,
705,211,2500 - 2599,,,Available,
705,211,2600 - 2699,,,Available,
705,211,2700 - 2799,,,Available,
705,211,2800 - 2899,,,Available,
705,211,2900 - 2999,,,Available,
705,211,3000 - 3099,,,Available,
705,211,3100 - 3199,,,Available,
705,211,3200 - 3299,,,Available,
705,211,3300 - 3399,,,Available,
705,211,3400 - 3499,,,Available,
705,211,3500 - 3599,,,Available,
705,211,3600 - 3699,,,Available,
705,211,3700 - 3799,,,Available,
705,211,3800 - 3899,,,Available,
705,211,3900 - 3999,,,Available,
705,211,4000 - 4099,,,Available,
705,211,4100 - 4199,,,Available,
705,211,4200 - 4299,,,Available,
705,211,4300 - 4399,,,Available,
705,211,4400 - 4499,,,Available,
705,211,4500 - 4599,,,Available,
705,211,4600 - 4699,,,Available,
705,211,4700 - 4799,,,Available,
705,211,4800 - 4899,,,Available,
705,211,4900 - 4999,,,Available,
705,211,5000 - 5099,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
705,211,5100 - 5199,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
705,211,5200 - 5299,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
705,211,5300 - 5399,,,Available,
705,211,5400 - 5499,,,Available,
705,211,5500 - 5599,,,Available,
705,211,5600 - 5699,,,Available,
705,211,5700 - 5799,,,Available,
705,211,5800 - 5899,,,Available,
705,211,5900 - 5999,,,Available,
705,211,6000 - 6099,,,Available,
705,211,6100 - 6199,,,Available,
705,211,6200 - 6299,,,Available,
705,211,6300 - 6399,,,Available,
705,211,6400 - 6499,,,Available,
705,211,6500 - 6599,,,Available,
705,211,6600 - 6699,,,Available,
705,211,6700 - 6799,,,Available,
705,211,6800 - 6899,,,Available,
705,211,6900 - 6999,,,Available,
705,211,7000 - 7099,,,Available,
705,211,7100 - 7199,,,Available,
705,211,7200 - 7299,,,Available,
705,211,7300 - 7399,,,Available,
705,211,7400 - 7499,,,Available,
705,211,7500 - 7599,,,Available,
705,211,7600 - 7699,,,Available,
705,211,7700 - 7799,,,Available,
705,211,7800 - 7899,,,Available,
705,211,7900 - 7999,,,Available,
705,211,8000 - 8099,,,Available,
705,211,8100 - 8199,,,Available,
705,211,8200 - 8299,,,Available,
705,211,8300 - 8399,,,Available,
705,211,8400 - 8499,,,Available,
705,211,8500 - 8599,,,Available,
705,211,8600 - 8699,,,Available,
705,211,8700 - 8799,,,Available,
705,211,8800 - 8899,,,Available,
705,211,8900 - 8999,,,Available,
705,211,9000 - 9099,,,Available,
705,211,9100 - 9199,,,Available,
705,211,9200 - 9299,,,Available,
705,211,9300 - 9399,,,Available,
705,211,9400 - 9499,,,Available,
705,211,9500 - 9599,,,Available,
705,211,9600 - 9699,,,Available,
705,211,9700 - 9799,,,Available,
705,211,9800 - 9899,,,Available,
705,211,9900 - 9999,,,Available,
705,511,0000 - 0099,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,0100 - 0199,Bell Mobility,6574,In Service,
705,511,0200 - 0299,Bell Mobility,6574,In Service,
705,511,0300 - 0399,Bell Mobility,6574,In Service,
705,511,0400 - 0499,Bell Mobility,6574,In Service,
705,511,0500 - 0599,Bell Mobility,6574,In Service,
705,511,0600 - 0699,Bell Mobility,6574,In Service,
705,511,0700 - 0799,Bell Mobility,6574,In Service,
705,511,0800 - 0899,Bell Mobility,6574,In Service,
705,511,0900 - 0999,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,1000 - 1099,Bell Mobility,6574,In Service,
705,511,1100 - 1199,Bell Mobility,6574,In Service,
705,511,1200 - 1299,Bell Mobility,6574,In Service,
705,511,1300 - 1399,Bell Mobility,6574,In Service,
705,511,1400 - 1499,Bell Mobility,6574,In Service,
705,511,1500 - 1599,Bell Mobility,6574,In Service,
705,511,1600 - 1699,Bell Mobility,6574,In Service,
705,511,1700 - 1799,Bell Mobility,6574,In Service,
705,511,1800 - 1899,Bell Mobility,6574,In Service,
705,511,1900 - 1999,Bell Mobility,6574,In Service,
705,511,2000 - 2099,Thunder Bay Mobility,9937,Assigned,
705,511,2100 - 2199,Ice Wireless Inc.,630G,Assigned,
705,511,2200 - 2299,Bell Mobility,6574,Assigned,
705,511,2300 - 2399,Bell Mobility,6574,Assigned,
705,511,2400 - 2499,Bell Mobility,6574,Assigned,
705,511,2500 - 2599,Ontera-a division of Northern Tel L.P.,8229,In Service,
705,511,2600 - 2699,Bell Mobility,6574,Assigned,
705,511,2700 - 2799,Bell Mobility,6574,Assigned,
705,511,2800 - 2899,Bell Mobility,6574,Assigned,
705,511,2900 - 2999,Bell Mobility,6574,Assigned,
705,511,3000 - 3099,Bell Mobility,6574,In Service,
705,511,3100 - 3199,Bell Mobility,6574,In Service,
705,511,3200 - 3299,Bell Mobility,6574,In Service,
705,511,3300 - 3399,Bell Mobility,6574,In Service,
705,511,3400 - 3499,Bell Mobility,6574,In Service,
705,511,3500 - 3599,Bell Mobility,6574,In Service,
705,511,3600 - 3699,Bell Mobility,6574,In Service,
705,511,3700 - 3799,Bell Mobility,6574,In Service,
705,511,3800 - 3899,Bell Mobility,6574,In Service,
705,511,3900 - 3999,Bell Mobility,6574,Assigned,
705,511,4000 - 4099,Freedom Mobile Inc.,383F,Assigned,
705,511,4100 - 4199,Freedom Mobile Inc.,383F,Assigned,
705,511,4200 - 4299,Freedom Mobile Inc.,383F,Assigned,
705,511,4300 - 4399,Freedom Mobile Inc.,383F,Assigned,
705,511,4400 - 4499,Freedom Mobile Inc.,383F,Assigned,
705,511,4500 - 4599,Freedom Mobile Inc.,383F,Assigned,
705,511,4600 - 4699,Freedom Mobile Inc.,383F,Assigned,
705,511,4700 - 4799,Freedom Mobile Inc.,383F,Assigned,
705,511,4800 - 4899,Bell Mobility,6574,Assigned,
705,511,4900 - 4999,Bell Mobility,6574,Assigned,
705,511,5000 - 5099,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5100 - 5199,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5200 - 5299,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5300 - 5399,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5400 - 5499,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5500 - 5599,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5600 - 5699,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5700 - 5799,Rogers Communications Canada Inc. (Wireless),8821,In Service,
