NPA,NXX,ESRD,Company,OCN,Status,Remarks
,,,,,,2018-10-26
367,511,0000 - 0099,,,Available,
367,511,0100 - 0199,,,Available,
367,511,0200 - 0299,,,Available,
367,511,0300 - 0399,,,Available,
367,511,0400 - 0499,,,Available,
367,511,0500 - 0599,,,Available,
367,511,0600 - 0699,,,Available,
367,511,0700 - 0799,,,Available,
367,511,0800 - 0899,,,Available,
367,511,0900 - 0999,,,Available,
367,511,1000 - 1099,,,Available,
367,511,1100 - 1199,,,Available,
367,511,1200 - 1299,,,Available,
367,511,1300 - 1399,,,Available,
367,511,1400 - 1499,,,Available,
367,511,1500 - 1599,,,Available,
367,511,1600 - 1699,,,Available,
367,511,1700 - 1799,,,Available,
367,511,1800 - 1899,,,Available,
367,511,1900 - 1999,,,Available,
367,511,2000 - 2099,,,Available,
367,511,2100 - 2199,,,Available,
367,511,2200 - 2299,,,Available,
367,511,2300 - 2399,,,Available,
367,511,2400 - 2499,,,Available,
367,511,2500 - 2599,,,Available,
367,511,2600 - 2699,,,Available,
367,511,2700 - 2799,,,Available,
367,511,2800 - 2899,,,Available,
367,511,2900 - 2999,,,Available,
367,511,3000 - 3099,,,Available,
367,511,3100 - 3199,,,Available,
367,511,3200 - 3299,,,Available,
367,511,3300 - 3399,,,Available,
367,511,3400 - 3499,,,Available,
367,511,3500 - 3599,,,Available,
367,511,3600 - 3699,,,Available,
367,511,3700 - 3799,,,Available,
367,511,3800 - 3899,,,Available,
367,511,3900 - 3999,,,Available,
367,511,4000 - 4099,,,Available,
367,511,4100 - 4199,,,Available,
367,511,4200 - 4299,,,Available,
367,511,4300 - 4399,,,Available,
367,511,4400 - 4499,,,Available,
367,511,4500 - 4599,,,Available,
367,511,4600 - 4699,,,Available,
367,511,4700 - 4799,,,Available,
367,511,4800 - 4899,,,Available,
367,511,4900 - 4999,,,Available,
367,511,5000 - 5099,,,Available,
367,511,5100 - 5199,,,Available,
367,511,5200 - 5299,,,Available,
367,511,5300 - 5399,,,Available,
367,511,5400 - 5499,,,Available,
367,511,5500 - 5599,,,Available,
367,511,5600 - 5699,,,Available,
367,511,5700 - 5799,,,Available,
367,511,5800 - 5899,,,Available,
367,511,5900 - 5999,,,Available,
367,511,6000 - 6099,,,Available,
367,511,6100 - 6199,,,Available,
367,511,6200 - 6299,,,Available,
367,511,6300 - 6399,,,Available,
367,511,6400 - 6499,,,Available,
367,511,6500 - 6599,,,Available,
367,511,6600 - 6699,,,Available,
367,511,6700 - 6799,,,Available,
367,511,6800 - 6899,,,Available,
367,511,6900 - 6999,,,Available,
367,511,7000 - 7099,,,Available,
367,511,7100 - 7199,,,Available,
367,511,7200 - 7299,,,Available,
367,511,7300 - 7399,,,Available,
367,511,7400 - 7499,,,Available,
367,511,7500 - 7599,,,Available,
367,511,7600 - 7699,,,Available,
367,511,7700 - 7799,,,Available,
367,511,7800 - 7899,,,Available,
367,511,7900 - 7999,,,Available,
367,511,8000 - 8099,,,Available,
367,511,8100 - 8199,,,Available,
367,511,8200 - 8299,,,Available,
367,511,8300 - 8399,,,Available,
367,511,8400 - 8499,,,Available,
367,511,8500 - 8599,,,Available,
367,511,8600 - 8699,,,Available,
367,511,8700 - 8799,,,Available,
367,511,8800 - 8899,,,Available,
367,511,8900 - 8999,,,Available,
367,511,9000 - 9099,,,Available,
367,511,9100 - 9199,,,Available,
367,511,9200 - 9299,,,Available,
367,511,9300 - 9399,,,Available,
367,511,9400 - 9499,,,Available,
367,511,9500 - 9599,,,Available,
367,511,9600 - 9699,,,Available,
367,511,9700 - 9799,,,Available,
367,511,9800 - 9899,,,Available,
367,511,9900 - 9999,,,Available,
