NPA,NXX,ESRD,Company,OCN,Status,Remarks
,,,,,,2018-10-26
780,211,0000 - 0099,,,Available,
780,211,0100 - 0199,,,Available,
780,211,0200 - 0299,,,Available,
780,211,0300 - 0399,,,Available,
780,211,0400 - 0499,,,Available,
780,211,0500 - 0599,,,Available,
780,211,0600 - 0699,,,Available,
780,211,0700 - 0799,,,Available,
780,211,0800 - 0899,,,Available,
780,211,0900 - 0999,,,Available,
780,211,1000 - 1099,,,Available,
780,211,1100 - 1199,,,Available,
780,211,1200 - 1299,,,Available,
780,211,1300 - 1399,,,Available,
780,211,1400 - 1499,,,Available,
780,211,1500 - 1599,,,Available,
780,211,1600 - 1699,,,Available,
780,211,1700 - 1799,,,Available,
780,211,1800 - 1899,,,Available,
780,211,1900 - 1999,,,Available,
780,211,2000 - 2099,,,Available,
780,211,2100 - 2199,,,Available,
780,211,2200 - 2299,,,Available,
780,211,2300 - 2399,,,Available,
780,211,2400 - 2499,,,Available,
780,211,2500 - 2599,,,Available,
780,211,2600 - 2699,,,Available,
780,211,2700 - 2799,,,Available,
780,211,2800 - 2899,,,Available,
780,211,2900 - 2999,,,Available,
780,211,3000 - 3099,,,Available,
780,211,3100 - 3199,,,Available,
780,211,3200 - 3299,,,Available,
780,211,3300 - 3399,,,Available,
780,211,3400 - 3499,,,Available,
780,211,3500 - 3599,,,Available,
780,211,3600 - 3699,,,Available,
780,211,3700 - 3799,,,Available,
780,211,3800 - 3899,,,Available,
780,211,3900 - 3999,,,Available,
780,211,4000 - 4099,Freedom Mobile Inc.,383F,Assigned,
780,211,4100 - 4199,Freedom Mobile Inc.,383F,Assigned,
780,211,4200 - 4299,Freedom Mobile Inc.,383F,Assigned,
780,211,4300 - 4399,Freedom Mobile Inc.,383F,Assigned,
780,211,4400 - 4499,Freedom Mobile Inc.,383F,Assigned,
780,211,4500 - 4599,Freedom Mobile Inc.,383F,Assigned,
780,211,4600 - 4699,Freedom Mobile Inc.,383F,Assigned,
780,211,4700 - 4799,Freedom Mobile Inc.,383F,Assigned,
780,211,4800 - 4899,,,Available,
780,211,4900 - 4999,,,Available,
780,211,5000 - 5099,TELUS Mobility,8303,Assigned,
780,211,5100 - 5199,TELUS Mobility,8303,Assigned,
780,211,5200 - 5299,TELUS Mobility,8303,Assigned,
780,211,5300 - 5399,TELUS Mobility,8303,Assigned,
780,211,5400 - 5499,TELUS Mobility,8303,Assigned,
780,211,5500 - 5599,TELUS Mobility,8303,Assigned,
780,211,5600 - 5699,TELUS Mobility,8303,Assigned,
780,211,5700 - 5799,TELUS Mobility,8303,Assigned,
780,211,5800 - 5899,TELUS Mobility,8303,Assigned,
780,211,5900 - 5999,TELUS Mobility,8303,Assigned,
780,211,6000 - 6099,TELUS Mobility,8303,Assigned,
780,211,6100 - 6199,TELUS Mobility,8303,Assigned,
780,211,6200 - 6299,TELUS Mobility,8303,Assigned,
780,211,6300 - 6399,TELUS Mobility,8303,Assigned,
780,211,6400 - 6499,TELUS Mobility,8303,Assigned,
780,211,6500 - 6599,TELUS Mobility,8303,Assigned,
780,211,6600 - 6699,TELUS Mobility,8303,Assigned,
780,211,6700 - 6799,TELUS Mobility,8303,Assigned,
780,211,6800 - 6899,TELUS Mobility,8303,Assigned,
780,211,6900 - 6999,TELUS Mobility,8303,Assigned,
780,211,7000 - 7099,TELUS Mobility,8303,Assigned,
780,211,7100 - 7199,TELUS Mobility,8303,Assigned,
780,211,7200 - 7299,,,Available,
780,211,7300 - 7399,,,Available,
780,211,7400 - 7499,,,Available,
780,211,7500 - 7599,,,Available,
780,211,7600 - 7699,,,Available,
780,211,7700 - 7799,,,Available,
780,211,7800 - 7899,,,Available,
780,211,7900 - 7999,,,Available,
780,211,8000 - 8099,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8100 - 8199,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8200 - 8299,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8300 - 8399,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8400 - 8499,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8500 - 8599,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8600 - 8699,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8700 - 8799,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,8800 - 8899,Rogers Communications Canada Inc. (Wireless),8821,In Service,
780,211,8900 - 8999,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9000 - 9099,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9100 - 9199,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9200 - 9299,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9300 - 9399,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9400 - 9499,Rogers Communications Canada Inc. (Wireless),8821,Assigned,
780,211,9500 - 9599,,,Available,
780,211,9600 - 9699,,,Available,
780,211,9700 - 9799,,,Available,
780,211,9800 - 9899,,,Available,
780,211,9900 - 9999,,,Available,
780,511,0000 - 0099,Rogers Communications Canada Inc. (Wireless),8821,In Service,
780,511,0100 - 0199,Rogers Communications Canada Inc. (Wireless),8821,In Service,
780,511,0200 - 0299,,,Recovered/Aging,
780,511,0300 - 0399,,,Recovered/Aging,
780,511,0400 - 0499,,,Recovered/Aging,
780,511,0500 - 0599,Bell Mobility,6574,Assigned,
780,511,0600 - 0699,Bell Mobility,6574,Assigned,
780,511,0700 - 0799,Bell Mobility,6574,Assigned,
780,511,0800 - 0899,Bell Mobility,6574,Assigned,
780,511,0900 - 0999,Bell Mobility,6574,Assigned,
780,511,1000 - 1099,Bell Mobility,6574,In Service,
780,511,1100 - 1199,Bell Mobility,6574,In Service,
780,511,1200 - 1299,Bell Mobility,6574,In Service,
780,511,1300 - 1399,Bell Mobility,6574,In Service,
780,511,1400 - 1499,Bell Mobility,6574,In Service,
780,511,1500 - 1599,Bell Mobility,6574,Assigned,
780,511,1600 - 1699,Bell Mobility,6574,Assigned,
780,511,1700 - 1799,Bell Mobility,6574,Assigned,
780,511,1800 - 1899,Bell Mobility,6574,Assigned,
780,511,1900 - 1999,Bell Mobility,6574,Assigned,
780,511,2000 - 2099,Freedom Mobile Inc.,383F,Assigned,
