NPA,NXX,ESRD,Company,OCN,Status,Remarks
,,,,,,2018-10-26
306,211,0000 - 0099,SaskTel Mobility,9868,In Service,
306,211,0100 - 0199,SaskTel Mobility,9868,In Service,
306,211,0200 - 0299,SaskTel Mobility,9868,In Service,
306,211,0300 - 0399,SaskTel Mobility,9868,In Service,
306,211,0400 - 0499,SaskTel Mobility,9868,In Service,
306,211,0500 - 0599,SaskTel Mobility,9868,In Service,
306,211,0600 - 0699,SaskTel Mobility,9868,In Service,
306,211,0700 - 0799,SaskTel Mobility,9868,In Service,
306,211,0800 - 0899,SaskTel Mobility,9868,In Service,
306,211,0900 - 0999,SaskTel Mobility,9868,In Service,
306,211,1000 - 1099,SaskTel Mobility,9868,In Service,
306,211,1100 - 1199,SaskTel Mobility,9868,In Service,
306,211,1200 - 1299,SaskTel Mobility,9868,In Service,
306,211,1300 - 1399,SaskTel Mobility,9868,In Service,
306,211,1400 - 1499,SaskTel Mobility,9868,In Service,
306,211,1500 - 1599,SaskTel Mobility,9868,In Service,
306,211,1600 - 1699,SaskTel Mobility,9868,In Service,
306,211,1700 - 1799,SaskTel Mobility,9868,In Service,
306,211,1800 - 1899,SaskTel Mobility,9868,In Service,
306,211,1900 - 1999,SaskTel Mobility,9868,In Service,
306,211,2000 - 2099,SaskTel Mobility,9868,In Service,
306,211,2100 - 2199,SaskTel Mobility,9868,In Service,
306,211,2200 - 2299,SaskTel Mobility,9868,In Service,
306,211,2300 - 2399,SaskTel Mobility,9868,In Service,
306,211,2400 - 2499,SaskTel Mobility,9868,In Service,
306,211,2500 - 2599,SaskTel Mobility,9868,In Service,
306,211,2600 - 2699,SaskTel Mobility,9868,In Service,
306,211,2700 - 2799,SaskTel Mobility,9868,In Service,
306,211,2800 - 2899,SaskTel Mobility,9868,In Service,
306,211,2900 - 2999,SaskTel Mobility,9868,In Service,
306,211,3000 - 3099,Bell Mobility,6574,Assigned,
306,211,3100 - 3199,Bell Mobility,6574,Assigned,
306,211,3200 - 3299,Bell Mobility,6574,Assigned,
306,211,3300 - 3399,Bell Mobility,6574,Assigned,
306,211,3400 - 3499,Bell Mobility,6574,Assigned,
306,211,3500 - 3599,Bell Mobility,6574,Assigned,
306,211,3600 - 3699,Bell Mobility,6574,Assigned,
306,211,3700 - 3799,Bell Mobility,6574,Assigned,
306,211,3800 - 3899,Bell Mobility,6574,Assigned,
306,211,3900 - 3999,,,Available,
306,211,4000 - 4099,Bell Mobility,6574,Assigned,
306,211,4100 - 4199,Bell Mobility,6574,Assigned,
306,211,4200 - 4299,Bell Mobility,6574,Assigned,
306,211,4300 - 4399,Bell Mobility,6574,Assigned,
306,211,4400 - 4499,Bell Mobility,6574,Assigned,
306,211,4500 - 4599,Bell Mobility,6574,Assigned,
306,211,4600 - 4699,Bell Mobility,6574,Assigned,
