NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
604,200,0000-9999,,,Available,,N/A,
604,201,0000-9999,TELUS Mobility,8303,In Service,Hope,May 16 2007 ,
604,202,0000-9999,TELUS Mobility,8303,In Service,New Westminster,Grandfathered,
604,203,0000-9999,TELUS Mobility,8303,In Service,Whistler,Grandfathered,
604,204,0000-9999,,,Available,,N/A,
604,205,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 16 2006 ,
604,206,0000-9999,TELUS Mobility,8303,In Service,Hope,May 17 2007 ,
604,207,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 26 2012 ,
604,208,0000-9999,TELUS Mobility,8303,In Service,Powell River,Grandfathered,
604,209,0000-9999,TELUS Mobility,8303,In Service,New Westminster,Grandfathered,
604,210,0000-9999,,,Available,,N/A,
604,211,0000-9999,,,Not Available,,N/A,
604,212,0000-9999,TELUS Mobility,8303,In Service,Sechelt,Grandfathered,
604,213,0000-9999,TELUS Mobility,8303,In Service,Squamish,Grandfathered,
604,214,0000-9999,,,Available,,N/A,
604,215,0000-0999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,1000-1999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,2000-2999,Bell Mobility,6574,In Service,Vancouver,Grandfathered,
604,215,3000-3999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,4000-4999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,5000-5999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,6000-6999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,7000-7999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,8000-8999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,215,9000-9999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,216,0000-0999,,,Available,,N/A,
604,216,1000-1999,,,Available,,N/A,
604,216,2000-2999,,,Available,,N/A,
604,216,3000-3999,,,Available,,N/A,
604,216,4000-4999,,,Available,,N/A,
604,216,5000-5999,,,Available,,N/A,
604,216,6000-6999,,,Available,,N/A,
604,216,7000-7999,,,Available,,N/A,
604,216,8000-8999,,,Available,,N/A,
604,216,9000-9999,Bell Mobility,6574,In Service,Vancouver,Grandfathered,
604,217,0000-9999,,,Available,,N/A,
604,218,0000-9999,,,Available,,N/A,
604,219,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,220,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,221,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 16 2006 ,
604,222,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 16 2006 ,
604,223,0000-9999,TELUS Mobility,8303,In Service,Powell River,May 18 2007 ,
604,224,0000-9999,Bell Mobility,6574,In Service,Aldergrove,Sep 14 2016 ,
604,225,0000-9999,,,Available,,N/A,
604,226,0000-9999,TELUS Mobility,8303,In Service,Abbotsford,Aug 27 2007 ,
604,227,0000-9999,,,Available,,N/A,
604,228,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 16 2006 ,
604,229,0000-9999,,,Available,,N/A,
604,230,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,231,0000-9999,,,Available,,N/A,
604,232,0000-9999,,,Available,,N/A,
604,233,0000-9999,,,Available,,N/A,
604,234,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov  6 2013 ,
604,235,0000-9999,,,Available,,N/A,
604,236,0000-9999,,,Not Available,,N/A,
604,237,0000-0999,Bell Mobility,6574,In Service,New Westminster,Aug 25 2009 ,
604,237,1000-1999,Bell Mobility,6574,In Service,New Westminster,Aug 25 2009 ,
604,237,2000-2999,Bell Mobility,6574,In Service,New Westminster,Aug 25 2009 ,
604,237,3000-3999,,,Available,,N/A,
604,237,4000-4999,,,Available,,N/A,
604,237,5000-5999,,,Available,,N/A,
604,237,6000-6999,,,Available,,N/A,
604,237,7000-7999,,,Available,,N/A,
604,237,8000-8999,,,Available,,N/A,
604,237,9000-9999,,,Available,,N/A,
604,238,0000-9999,,,Available,,N/A,
604,239,0000-9999,,,Available,,N/A,
604,240,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,241,0000-9999,,,Available,,N/A,
604,242,0000-9999,,,Available,,N/A,
604,243,0000-9999,,,Available,,N/A,
604,244,0000-9999,,,Available,,N/A,
604,245,0000-9999,,,Available,,N/A,
604,246,0000-9999,,,Available,,N/A,
604,247,0000-9999,,,Available,,N/A,
604,248,0000-9999,,,Available,,N/A,
604,249,0000-9999,,,Available,,N/A,
604,250,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,251,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,252,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,253,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,254,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,255,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,256,0000-9999,,,Available,,N/A,
604,257,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Nov  1 2006 ,
604,258,0000-0999,,,Available,,N/A,
604,258,1000-1999,,,Available,,N/A,
604,258,2000-2999,,,Available,,N/A,
604,258,3000-3999,,,Available,,N/A,
604,258,4000-4999,,,Available,,N/A,
604,258,5000-5999,,,Available,,N/A,
604,258,6000-6999,,,Available,,N/A,
604,258,7000-7999,,,Available,,N/A,
604,258,8000-8999,TELUS Mobility,8303,In Service,Vancouver,Grandfathered,
604,258,9000-9999,,,Available,,N/A,
604,259,0000-9999,,,Available,,N/A,
604,260,0000-9999,,,Available,,N/A,
604,261,0000-9999,Bell Mobility,6574,In Service,Vancouver,Nov 16 2006 ,
604,262,0000-9999,,,Available,,N/A,
604,263,0000-9999,Bell Mobility,6574,In Service,Vancouver,Oct  3 2007 ,
604,264,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,265,0000-9999,,,Available,,N/A,
604,266,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,267,0000-9999,TELUS Mobility,8303,In Service,Vancouver,Feb  6 2008 ,
604,268,0000-9999,Bell Mobility,6574,In Service,Vancouver,Apr  7 2010 ,
604,269,0000-9999,Bell Mobility,6574,In Service,Vancouver,Jun 21 2010 ,
604,270,0000-9999,Bell Mobility,6574,In Service,Vancouver,Jul 25 2011 ,
604,271,0000-9999,Bell Mobility,6574,In Service,Vancouver,May 25 2017 ,
604,272,0000-9999,Bell Mobility,6574,In Service,Vancouver,May 25 2017 ,
604,273,0000-9999,,,Available,,N/A,
604,274,0000-9999,,,Available,,N/A,
604,275,0000-9999,,,Available,,N/A,
604,276,0000-9999,,,Available,,N/A,
604,277,0000-9999,,,Available,,N/A,
604,278,0000-9999,,,Available,,N/A,
604,279,0000-9999,,,Available,,N/A,
604,280,0000-9999,Bell Mobility,6574,In Service,Vancouver,Oct 12 2010 ,
604,281,0000-9999,,,Available,,N/A,
604,282,0000-9999,,,Available,,N/A,
604,283,0000-9999,,,Available,,N/A,
