NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
306,200,0000-9999,SaskTel Mobility,9868,In Service,Saskatoon,Dec  7 2015 ,
306,201,0000-9999,Bell Mobility,6574,In Service,Regina,Sep 18 2008 ,
306,202,0000-9999,Bell Mobility,6574,In Service,Saskatoon,Sep 18 2008 ,
306,203,0000-9999,Bell Mobility,6574,In Service,Saskatoon,Apr 16 2010 ,
306,204,0000-9999,,,Not Available,,N/A,
306,205,0000-9999,Bell Mobility,6574,In Service,Norquay,Nov 30 2006 ,
306,206,0000-0999,,,Available,,N/A,
306,206,1000-1999,Bell Mobility,6574,In Service,Saskatoon,May  4 2011 ,
306,206,2000-2999,Bell Mobility,6574,In Service,Saskatoon,May  4 2011 ,
306,206,3000-3999,Bell Mobility,6574,In Service,Saskatoon,May  4 2011 ,
306,206,4000-4999,Bell Mobility,6574,In Service,Saskatoon,May  4 2011 ,
306,206,5000-5999,,,Available,,N/A,
306,206,6000-6999,,,Available,,N/A,
306,206,7000-7999,,,Available,,N/A,
306,206,8000-8999,,,Available,,N/A,
306,206,9000-9999,,,Available,,N/A,
306,207,0000-9999,TELUS Mobility,8303,In Service,La Ronge,Oct 30 2009 ,
306,208,0000-9999,TELUS Mobility,8303,In Service,North Battleford,Grandfathered,
306,209,0000-9999,TELUS Mobility,8303,In Service,Regina,Dec  3 2008 ,
306,210,0000-0999,Bell Mobility,6574,In Service,Unity,Aug 11 2010 ,
306,210,1000-1999,SaskTel Mobility,9868,In Service,Unity,Aug 11 2010 ,
306,210,2000-2999,SaskTel Mobility,9868,In Service,Unity,Aug 11 2010 ,
306,210,3000-3999,SaskTel Mobility,9868,In Service,Unity,Aug 11 2010 ,
306,210,4000-4999,SaskTel Mobility,9868,In Service,Unity,Aug 11 2010 ,
306,210,5000-5999,SaskTel Mobility,9868,In Service,Unity,Aug 11 2010 ,
