NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
506,200,0000-9999,,,Available,,N/A,
506,201,0000-9999,,,Available,,N/A,
506,202,0000-9999,Bell Mobility,6574,In Service,Saint John,Oct  4 2006 ,
506,203,0000-9999,TELUS Mobility,8303,In Service,Moncton,Jan 31 2007 ,
506,204,0000-9999,TELUS Mobility,8303,In Service,Moncton,Jan 31 2007 ,
506,205,0000-9999,Bell Mobility Aliant,329A,In Service,Saint John,May 25 2017 ,
506,206,0000-9999,,,Available,,N/A,
506,207,0000-9999,,,Not Available,,N/A,
506,208,0000-9999,Bell Mobility Aliant,329A,In Service,Bouctouche,Jul 30 2018 ,
506,209,0000-9999,Bell Mobility Aliant,329A,In Service,Shippagan,Jul 30 2018 ,
506,210,0000-9999,,,Available,,N/A,
506,211,0000-9999,,,Not Available,,N/A,
506,212,0000-9999,Bell Mobility Aliant,329A,In Service,St. George,Jul 31 2018 ,
506,213,0000-9999,Bell Mobility Aliant,329A,In Service,Florenceville,Jul 30 2018 ,
506,214,0000-9999,Bell Mobility Aliant,329A,In Service,Sackville,Jul 31 2018 ,
506,215,0000-9999,Bell Mobility Aliant,329A,In Service,Petitcodiac,Jul 30 2018 ,
506,216,0000-9999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Jul 30 2018 ,
506,217,0000-9999,,,Available,,N/A,
506,218,0000-9999,,,Available,,N/A,
506,219,0000-9999,,,Available,,N/A,
506,220,0000-9999,,,Available,,N/A,
506,221,0000-9999,,,Available,,N/A,
506,222,0000-9999,,,Available,,N/A,
506,223,0000-9999,Bell Mobility,6574,In Service,Sussex,Feb 24 2015 ,
506,224,0000-9999,Bell Mobility,6574,In Service,Campbellton,Feb 23 2015 ,
506,225,0000-9999,,,Available,,N/A,
506,226,0000-9999,,,Available,,N/A,
506,227,0000-9999,TELUS Mobility,8303,In Service,Moncton,Oct 19 2006 ,
506,228,0000-9999,Bell Mobility Aliant,329A,In Service,Moncton,Jun  5 2012 ,
506,229,0000-9999,TELUS Mobility,8303,In Service,Moncton,Apr 29 2009 ,
506,230,0000-9999,TELUS Mobility,8303,In Service,Fredericton,Oct  8 2015 ,
506,231,0000-9999,,,Not Available,,N/A,
506,232,0000-9999,TELUS Mobility,8303,In Service,Moncton,Dec  1 2010 ,
506,233,0000-9999,TELUS Mobility,8303,In Service,Moncton,Dec  1 2010 ,
506,234,0000-0999,Bell Mobility,6574,In Service,Saint-Quentin,Grandfathered,
506,234,1000-1999,Bell Mobility,6574,In Service,Saint-Quentin,Mar 16 2008 ,
506,234,2000-2999,Bell Mobility,6574,In Service,Saint-Quentin,Mar 16 2008 ,
506,234,3000-3999,Bell Mobility,6574,In Service,Saint-Quentin,Mar 16 2008 ,
506,234,4000-4999,Bell Mobility,6574,In Service,Saint-Quentin,Mar 16 2008 ,
506,234,5000-5999,Bell Mobility,6574,In Service,Saint-Quentin,Mar 16 2008 ,
506,234,6000-6999,,,Available,,N/A,
506,234,7000-7999,,,Available,,N/A,
506,234,8000-8999,,,Available,,N/A,
506,234,9000-9999,,,Available,,N/A,
506,235,0000-0999,Bell Mobility Aliant,329A,In Service,Saint-Quentin,Grandfathered,
506,235,1000-1999,,,Available,,N/A,
506,235,2000-2999,,,Available,,N/A,
506,235,3000-3999,,,Available,,N/A,
506,235,4000-4999,,,Available,,N/A,
506,235,5000-5999,Bell Mobility Aliant,329A,In Service,Saint-Quentin,Grandfathered,
506,235,6000-6999,Bell Mobility Aliant,329A,In Service,Saint-Quentin,Grandfathered,
506,235,7000-7999,,,Available,,N/A,
506,235,8000-8999,,,Available,,N/A,
506,235,9000-9999,,,Available,,N/A,
506,236,0000-9999,,,Available,,N/A,
506,237,0000-9999,Bell Mobility,6574,In Service,Belledune,Nov 17 2006 ,
506,238,0000-9999,Bell Mobility Aliant,329A,In Service,Fredericton,Sep 11 2008 ,
506,239,0000-9999,,,Available,,N/A,
506,240,0000-9999,Bell Mobility Aliant,329A,In Service,Saint-Quentin,Aug  1 2018 ,
506,241,0000-9999,Bell Mobility Aliant,329A,In Service,Clair,Aug  1 2018 ,
506,242,0000-9999,Bell Mobility Aliant,329A,In Service,Kedgwick,Aug  1 2018 ,
506,243,0000-9999,Bell Mobility Aliant,329A,In Service,Minto,Aug  1 2018 ,
506,244,0000-9999,Bell Mobility Aliant,329A,In Service,Harvey Station,Aug  1 2018 ,
506,245,0000-9999,Bell Mobility Aliant,329A,In Service,Florenceville,Dec 19 2006 ,
506,246,0000-9999,Bell Mobility,6574,In Service,Florenceville,Nov 17 2006 ,
506,247,0000-9999,Bell Mobility Aliant,329A,In Service,Belledune,Aug  1 2018 ,
506,248,0000-9999,,,Available,,N/A,
506,249,0000-9999,Bell Mobility Aliant,329A,In Service,Tracadie,Aug  1 2018 ,
506,250,0000-9999,,,Available,,N/A,
506,251,0000-9999,TELUS Mobility,8303,In Service,Miramichi,May 18 2007 ,
506,252,0000-9999,TELUS Mobility,8303,In Service,Bathurst,May 18 2007 ,
506,253,0000-9999,TELUS Mobility,8303,In Service,Edmundston,May 17 2007 ,
506,254,0000-9999,,,Available,,N/A,
506,255,0000-9999,,,Available,,N/A,
506,256,0000-9999,,,Available,,N/A,
506,257,0000-9999,,,Not Available,,N/A,
506,258,0000-0999,TELUS Mobility,8303,In Service,Baker Brook,Apr 28 2011 ,
506,258,1000-1999,,,Available,,N/A,
506,258,2000-2999,,,Available,,N/A,
506,258,3000-3999,,,Available,,N/A,
506,258,4000-4999,,,Available,,N/A,
506,258,5000-5999,,,Available,,N/A,
506,258,6000-6999,,,Available,,N/A,
506,258,7000-7999,,,Available,,N/A,
506,258,8000-8999,,,Available,,N/A,
506,258,9000-9999,,,Available,,N/A,
506,259,0000-9999,TELUS Mobility,8303,In Service,Fredericton,Oct 31 2011 ,
506,260,0000-9999,TELUS Mobility,8303,In Service,Fredericton,Grandfathered,
506,261,0000-9999,TELUS Mobility,8303,In Service,Fredericton,Sep  4 2007 ,
506,262,0000-9999,TELUS Mobility,8303,In Service,Fredericton,Feb  3 2010 ,
506,263,0000-9999,,,Available,,N/A,
506,264,0000-9999,Bell Mobility Aliant,329A,In Service,Miramichi,Feb 27 2015 ,
506,265,0000-9999,,,Available,,N/A,
506,266,0000-9999,,,Available,,N/A,
506,267,0000-9999,,,Available,,N/A,
506,268,0000-9999,,,Available,,N/A,
506,269,0000-9999,,,Not Available,,N/A,
506,270,0000-9999,,,Available,,N/A,
506,271,0000-9999,,,Not Available,,N/A,
506,272,0000-9999,,,Available,,N/A,
506,273,0000-0999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,1000-1999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,2000-2999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,3000-3999,,,Available,,N/A,
506,273,4000-4999,,,Available,,N/A,
506,273,5000-5999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,6000-6999,,,Available,,N/A,
506,273,7000-7999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,8000-8999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,273,9000-9999,,,Available,,N/A,
506,274,0000-0999,Bell Mobility,6574,In Service,Perth-Andover,Grandfathered,
506,274,1000-1999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,2000-2999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,3000-3999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,4000-4999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,5000-5999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,6000-6999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,7000-7999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,8000-8999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,274,9000-9999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Nov 21 2007 ,
506,275,0000-9999,,,Not Available,,N/A,
506,276,0000-9999,Bell Mobility Aliant,329A,In Service,St. Stephen,Jun  5 2012 ,
506,277,0000-9999,Bell Mobility,6574,In Service,Woodstock,Nov 20 2006 ,
506,278,0000-9999,,,Available,,N/A,
506,279,0000-9999,TELUS Mobility,8303,In Service,Grand Falls,Dec 12 2006 ,
506,280,0000-9999,Bell Mobility Aliant,329A,In Service,Perth-Andover,Grandfathered,
506,281,0000-9999,,,Not Available,,N/A,
506,282,0000-9999,,,Not Available,,N/A,
506,283,0000-9999,Bell Mobility Aliant,329A,In Service,Kedgwick,Dec 19 2006 ,
506,284,0000-0999,Bell Mobility Aliant,329A,In Service,Kedgwick,Grandfathered,
506,284,1000-1999,Bell Mobility,6574,In Service,Kedgwick,Mar 16 2008 ,
