NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
873,200,0000-9999,,,Available,,N/A,
873,201,0000-9999,,,Available,,N/A,
873,202,0000-9999,,,Available,,N/A,
873,203,0000-9999,,,Available,,N/A,
873,204,0000-9999,,,Available,,N/A,
873,205,0000-9999,,,Available,,N/A,
873,206,0000-9999,,,Available,,N/A,
873,207,0000-9999,,,Not Available,,N/A,
873,208,0000-9999,,,Available,,N/A,
873,209,0000-9999,,,Available,,N/A,
873,210,0000-9999,,,Available,,N/A,
873,211,0000-9999,,,Not Available,,N/A,
873,212,0000-9999,,,Available,,N/A,
873,213,0000-9999,,,Available,,N/A,
873,214,0000-9999,,,Available,,N/A,
873,215,0000-9999,,,Available,,N/A,
873,216,0000-9999,,,Available,,N/A,
873,217,0000-9999,,,Available,,N/A,
873,218,0000-9999,,,Available,,N/A,
873,219,0000-9999,,,Available,,N/A,
873,220,0000-9999,,,Available,,N/A,
873,221,0000-9999,,,Available,,N/A,
873,222,0000-9999,,,Available,,N/A,
873,223,0000-9999,,,Available,,N/A,
873,224,0000-9999,,,Available,,N/A,
873,225,0000-9999,,,Available,,N/A,
873,226,0000-9999,,,Available,,N/A,
873,227,0000-9999,,,Available,,N/A,
873,228,0000-9999,,,Available,,N/A,
873,229,0000-9999,,,Available,,N/A,
873,230,0000-9999,,,Available,,N/A,
873,231,0000-9999,,,Available,,N/A,
873,232,0000-9999,,,Available,,N/A,
873,233,0000-9999,,,Available,,N/A,
873,234,0000-9999,,,Available,,N/A,
873,235,0000-9999,,,Available,,N/A,
873,236,0000-9999,,,Available,,N/A,
873,237,0000-9999,,,Available,,N/A,
873,238,0000-9999,,,Available,,N/A,
873,239,0000-9999,,,Available,,N/A,
873,240,0000-9999,,,Available,,N/A,
873,241,0000-9999,,,Available,,N/A,
873,242,0000-9999,,,Available,,N/A,
873,243,0000-9999,,,Available,,N/A,
873,244,0000-9999,,,Available,,N/A,
873,245,0000-9999,,,Available,,N/A,
873,246,0000-9999,,,Available,,N/A,
873,247,0000-9999,,,Available,,N/A,
873,248,0000-9999,,,Available,,N/A,
873,249,0000-9999,,,Not Available,,N/A,
873,250,0000-9999,,,Available,,N/A,
873,251,0000-9999,,,Not Available,,N/A,
873,252,0000-9999,,,Not Available,,N/A,
873,253,0000-9999,,,Available,,N/A,
873,254,0000-9999,,,Available,,N/A,
873,255,0000-9999,Bell Mobility,6574,In Service,Trois-Rivieres,Jun 10 2015 ,
873,256,0000-9999,,,Available,,N/A,
