NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
204,200,0000-9999,,,Available,,N/A,
204,201,0000-0999,Bell Mobility,6574,In Service,Clear Lake,Jan 12 2010 ,
204,201,1000-1999,Bell Mobility,6574,In Service,Clear Lake,Jan 12 2010 ,
204,201,2000-2999,,,Available,,N/A,
204,201,3000-3999,,,Available,,N/A,
204,201,4000-4999,,,Available,,N/A,
204,201,5000-5999,,,Available,,N/A,
204,201,6000-6999,,,Available,,N/A,
204,201,7000-7999,,,Available,,N/A,
204,201,8000-8999,,,Available,,N/A,
204,201,9000-9999,,,Available,,N/A,
204,202,0000-9999,,,Available,,N/A,
204,203,0000-9999,,,Available,,N/A,
204,204,0000-9999,,,Not Available,,N/A,
204,205,0000-9999,,,Available,,N/A,
204,206,0000-0999,Bell Mobility,6574,In Service,Teulon,Jan 13 2010 ,
204,206,1000-1999,Bell Mobility,6574,In Service,Teulon,Jan 13 2010 ,
204,206,2000-2999,,,Available,,N/A,
204,206,3000-3999,,,Available,,N/A,
204,206,4000-4999,,,Available,,N/A,
204,206,5000-5999,,,Available,,N/A,
204,206,6000-6999,,,Available,,N/A,
204,206,7000-7999,,,Available,,N/A,
204,206,8000-8999,,,Available,,N/A,
204,206,9000-9999,,,Available,,N/A,
204,207,0000-9999,,,Available,,N/A,
204,208,0000-9999,,,Available,,N/A,
204,209,0000-0999,Bell Mobility,6574,In Service,Morris,Jan 13 2010 ,
204,209,1000-1999,Bell Mobility,6574,In Service,Morris,Jan 13 2010 ,
204,209,2000-2999,,,Available,,N/A,
204,209,3000-3999,,,Available,,N/A,
204,209,4000-4999,,,Available,,N/A,
204,209,5000-5999,,,Available,,N/A,
204,209,6000-6999,,,Available,,N/A,
204,209,7000-7999,,,Available,,N/A,
204,209,8000-8999,,,Available,,N/A,
204,209,9000-9999,,,Available,,N/A,
204,210,0000-0999,Bell Mobility,6574,In Service,Minnedosa,Jan 13 2010 ,
204,210,1000-1999,Bell Mobility,6574,In Service,Minnedosa,Jan 13 2010 ,
204,210,2000-2999,,,Available,,N/A,
204,210,3000-3999,,,Available,,N/A,
204,210,4000-4999,,,Available,,N/A,
204,210,5000-5999,,,Available,,N/A,
204,210,6000-6999,,,Available,,N/A,
204,210,7000-7999,,,Available,,N/A,
204,210,8000-8999,,,Available,,N/A,
204,210,9000-9999,,,Available,,N/A,
204,211,0000-9999,,,Not Available,,N/A,
204,212,0000-0999,Bell Mobility,6574,In Service,Neepawa,Jan 13 2010 ,
204,212,1000-1999,Bell Mobility,6574,In Service,Neepawa,Jan 13 2010 ,
204,212,2000-2999,,,Available,,N/A,
204,212,3000-3999,,,Available,,N/A,
204,212,4000-4999,,,Available,,N/A,
204,212,5000-5999,,,Available,,N/A,
204,212,6000-6999,,,Available,,N/A,
204,212,7000-7999,,,Available,,N/A,
204,212,8000-8999,,,Available,,N/A,
204,212,9000-9999,,,Available,,N/A,
204,213,0000-0999,Bell Mobility,6574,In Service,Lac Du Bonnet,Jan 13 2010 ,
204,213,1000-1999,Bell Mobility,6574,In Service,Lac Du Bonnet,Jan 13 2010 ,
204,213,2000-2999,,,Available,,N/A,
204,213,3000-3999,,,Available,,N/A,
204,213,4000-4999,,,Available,,N/A,
204,213,5000-5999,,,Available,,N/A,
204,213,6000-6999,,,Available,,N/A,
204,213,7000-7999,,,Available,,N/A,
204,213,8000-8999,,,Available,,N/A,
204,213,9000-9999,,,Available,,N/A,
204,214,0000-0999,Bell Mobility,6574,In Service,Eriksdale,Jan 13 2010 ,
204,214,1000-1999,Bell Mobility,6574,In Service,Eriksdale,Jan 13 2010 ,
204,214,2000-2999,,,Available,,N/A,
204,214,3000-3999,,,Available,,N/A,
204,214,4000-4999,,,Available,,N/A,
204,214,5000-5999,,,Available,,N/A,
204,214,6000-6999,,,Available,,N/A,
204,214,7000-7999,,,Available,,N/A,
204,214,8000-8999,,,Available,,N/A,
204,214,9000-9999,,,Available,,N/A,
204,215,0000-9999,,,Available,,N/A,
204,216,0000-0999,Bell Mobility,6574,In Service,Altona,Jan 12 2010 ,
204,216,1000-1999,Bell Mobility,6574,In Service,Altona,Jan 12 2010 ,
204,216,2000-2999,,,Available,,N/A,
204,216,3000-3999,,,Available,,N/A,
204,216,4000-4999,,,Available,,N/A,
204,216,5000-5999,,,Available,,N/A,
204,216,6000-6999,,,Available,,N/A,
204,216,7000-7999,,,Available,,N/A,
204,216,8000-8999,,,Available,,N/A,
204,216,9000-9999,,,Available,,N/A,
204,217,0000-9999,Bell Mobility,6574,In Service,Winnipeg,Mar 16 2016 ,
204,218,0000-9999,TELUS Mobility,8303,In Service,Winnipeg,Grandfathered,
204,219,0000-9999,,,Available,,N/A,
204,220,0000-9999,Bell Mobility,6574,In Service,Carman,Nov  8 2006 ,
204,221,0000-9999,Bell Mobility,6574,In Service,Altona,Nov  8 2006 ,
204,222,0000-9999,Bell Mobility,6574,In Service,Deloraine,Nov  8 2006 ,
204,223,0000-9999,MTS Inc.,991B,In Service,Winnipeg,Grandfathered,
204,224,0000-0999,Bell Mobility,6574,In Service,Winnipeg,Jan 13 2010 ,
204,224,1000-1999,Bell Mobility,6574,In Service,Winnipeg,Jan 13 2010 ,
204,224,2000-2999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,3000-3999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,4000-4999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,5000-5999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,6000-6999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,7000-7999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,8000-8999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,224,9000-9999,Bell Mobility,6574,In Service,Winnipeg,Feb  2 2015 ,
204,225,0000-0999,Bell Mobility,6574,In Service,The Pas,Jan 13 2010 ,
204,225,1000-1999,Bell Mobility,6574,In Service,The Pas,Jan 13 2010 ,
204,225,2000-2999,,,Available,,N/A,
204,225,3000-3999,,,Available,,N/A,
204,225,4000-4999,,,Available,,N/A,
204,225,5000-5999,,,Available,,N/A,
204,225,6000-6999,,,Available,,N/A,
204,225,7000-7999,,,Available,,N/A,
204,225,8000-8999,,,Available,,N/A,
204,225,9000-9999,,,Available,,N/A,
204,226,0000-9999,MTS Inc.,991B,In Service,Winnipeg,Grandfathered,
204,227,0000-9999,,,Available,,N/A,
204,228,0000-9999,Bell Mobility,6574,In Service,Winnipeg,Mar 18 2016 ,
204,229,0000-9999,,,Available,,N/A,
204,230,0000-9999,Bell Mobility,6574,In Service,Gimli,Apr 11 2014 ,
204,231,0000-9999,Bell Mobility,6574,In Service,Gimli,Nov  8 2006 ,
204,232,0000-9999,MTS Inc.,991B,In Service,Winnipeg,Sep 23 2009 ,
204,233,0000-9999,Bell Mobility,6574,In Service,Holland,Nov  8 2006 ,
204,234,0000-9999,,,Available,,N/A,
204,235,0000-9999,Bell Mobility,6574,In Service,Lac Du Bonnet,Nov  8 2006 ,
204,236,0000-9999,,,Available,,N/A,
204,237,0000-9999,Bell Mobility,6574,In Service,Lorette,Nov  8 2006 ,
204,238,0000-9999,,,Available,,N/A,
204,239,0000-9999,MTS Inc.,991B,In Service,Portage La Prairie,Grandfathered,
204,240,0000-0999,Bell Mobility,6574,In Service,Portage La Prairie,Jan 13 2010 ,
204,240,1000-1999,Bell Mobility,6574,In Service,Portage La Prairie,Jan 13 2010 ,
